Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions
Gotham City Gauntlet Escape from Arkham Asylum,Six Flags New England,Steel,28,49.3,,1213.9,92,No
Goliath,Six Flags Magic Mountain,Steel,85,235,255,45,18,No
Goliath,Six Flags New England,Steel,65.6,191.6,177,124,92,Yes
Golden Whirlwind,Fantawild Dream Park,Steel,43.5,75.5,,1624,9,Yes
GodistEget,KolmErden,Steel,24.9,26.3,,623.3,,No
Gliding Dragon,People's Park,Steel,2.5,23,,649.6,,No
Giant Inverted Boomerang,Jin Jiang Action Park,Steel,65.6,191.6,177,124,92,Yes
GateKeeper,Cedar Point,Steel,67,17,164,4164,16,Yes
Fury 325,Carowinds,Steel,95,325,32,662,,No
FunCoaster,Funplex,Steel,26.7,36.1,,117.1,1,No
Fujiyama,Fuji-Q Highlands,Steel,8.8,259.2,229.7,678.67,216,No
Freischytz,Bayern Park,Steel,49.7,78.8,,1584.7,,Yes
Freestyle,Cavallino Matto,Steel,51,88,84,221,92,Yes
Formula Rossa,Ferrari World Abu Dhabi,Steel,149.1,17.6,,6561.7,,No
Fly Over Mediterranean,Happy Valley,Steel,52.8,11.7,98.4,2477,,No
Flug der Demonen,Heide Park Resort,Steel,62.1,131.3,,2532.8,18,Yes
Flash,Lewa Adventure,Steel,71.5,2.2,19.3,4176.5,128,Yes
Famous Jack,Bagatelle,Steel,29.1,42.7,,1377.9,9,No
FamilyCo Express,Happy Valley,Steel,43.5,49.3,,136.8,47,Yes
Family Coaster,ViaSea,Steel,43.5,65.6,,192.9,,No
Falcon,Duinrell,Steel,43.5,72.2,,1184.4,,Yes
Extreme Rusher,Happy Valley,Steel,83,17.6,196.8,2788.8,,No
Energy Roller Coaster,Energylandia,Steel,28.5,42.7,,199.1,,No
El Loco,Adventuredome,Steel,45,9,,13,73,Yes
Dwervelwind,Toverland,Steel,43.5,65.6,,164.4,112,No
Dream Coaster,Dream City,Steel,43.5,82,,1263.1,45,Yes
Dragon Roller Coaster,Energylandia,Steel,46.6,63.3,,1486.3,,No
Dragon Rider,Floraland,Steel,46.6,15,,2585.3,16,Yes
Dragon in Clouds,Happy Valley,Steel,53.7,117.8,111.8,2454.1,92,Yes
Dizz,Bobbejaanland,Steel,34.2,55.8,,141.8,,No
Diamondback,Kings Island,Steel,8,23,215,5282,18,No
Diabolik,Movieland Park,Steel,5,131.3,,113.8,9,Yes
Desperado,Buffalo Bill's Resort & Casino,Steel,8,29,225,5843,163,No
Deja Vu,Six Flags Great America,Steel,65.6,191.5,177,124,92,Yes
Deep Space,Adlabs Imagica,Steel,44.7,52.5,,1574.8,,Yes
Dare Devil Dive,Six Flags Over Georgia,Steel,52,95,,299,,Yes
Crazy Train,Gulliver's Warrington,Steel,24.6,3.2,,764.4,53,No
Crazy Mouse,Dreamland,Steel,29.1,42.7,,1377.9,9,No
Crazy Coaster,Loca Joy Holiday Theme Park,Steel,52.8,18.3,,287.8,,Yes
Corkscrew,Silverwood Theme Park,Steel,46,7,62,125,,Yes
Comet,Hersheypark,Wood,5,84,78,336,15,No
Colossus,Six Flags Magic Mountain,Wood,62,125,115,4325,15,No
Colorful Six Ring Roller Coaster,Weihe Park,Steel,49.7,19.9,,2395,,Yes
Coe Chulainn,Tayto Park,Wood,55.9,15,15.7,3582.7,165,No
Cobra,Conny-Land,Steel,52.8,137.8,,75.4,,Yes
Coaster Thrill Ride,Puyallup Fair,Wood,5,55,52,265,15,No
Clouds of Fairyland,World Joyland,Steel,65.3,151.6,,492.2,6,Yes
Cheetah Hunt,Busch Gardens Tampa,Steel,6,12,13,4429,,Yes
Cheetah,Wild Adventures,Wood,52,92,9,268,,No
Chang,Six Flags Kentucky Kingdom,Steel,63,154,144,4155,18,Yes
Carolina Cobra,Carowinds,Steel,47,116.5,,935,18,Yes
Canyon Blaster,Adventuredome,Steel,41,94,66,2423,6,Yes
Cannon Ball,Lake Winnepesaukah,Wood,5,7,7,2272,,No
Cannibal,Lagoon,Steel,7,28,,2735,15,Yes
Cagliostro,Rainbow MagicLand,Steel,36,55.8,,141.8,75,No
